user_id,age,gender,country,education_level,employment_status,preferred_category,skill_level,learning_goal,courses_viewed,courses_completed,avg_progress,avg_rating_given,total_watch_time_hours,sessions_per_week,avg_session_duration_min,last_activity_days_ago,completion_rate,dropout_rate,revisit_rate,diversity_score,engagement_score,preferred_course_length,preferred_content_type,time_of_day_preference,cluster,pca_1,pca_2
16,23,Male,Mexico,University,Student,Marketing,Intermediate,Hobby,32,22,70.49,4.4,75.1,6,47.3,69,0.6875,0.3125,0.4,0.83,0.5558014285714286,Long,Video,Night,0,1.5646165939970342,-0.5919055509138466
17,33,Female,Spain,Intermediate,Student,Cybersecurity,Advanced,Career Change,33,8,38.87,2.97,17.03,4,42.49,35,0.2424242424242424,0.7575757575757576,0.02,0.56,0.2401815584415584,Long,Mixed,Afternoon,1,-1.7801032145094335,-2.113665923094002
18,36,Female,Mexico,University,Employed,Web Dev,Advanced,Upskill,20,6,25.69,4.23,119.09,2,101.34,10,0.3,0.7,0.34,0.2,0.2522371428571429,Long,Video,Morning,1,-1.8585134501840075,-1.6401427770899004
19,40,Other,Spain,Basic,Unemployed,Data Science,Advanced,Hobby,31,29,72.62,3.07,56.61,9,64.41,1,0.935483870967742,0.0645161290322581,1.0,0.97,0.8187423041474654,Medium,Text,Afternoon,0,3.7188923673652714,1.359446350038508
20,22,Other,Colombia,Basic,Student,Data Science,Intermediate,Upskill,37,31,66.98,3.35,108.02,3,103.48,53,0.8378378378378378,0.1621621621621621,0.78,0.68,0.6055970656370657,Medium,Text,Morning,0,2.6820461764687056,-0.6973861556811337
21,28,Female,Colombia,Basic,Student,AI,Intermediate,Upskill,49,7,80.68,4.17,176.3,9,81.3,17,0.1428571428571428,0.8571428571428572,0.16,0.59,0.4290742857142857,Short,Mixed,Afternoon,1,-1.097077981179964,-0.20532294753720426
22,52,Male,Colombia,University,Employed,Data Science,Beginner,Career Change,16,12,30.18,4.28,74.99,5,25.56,7,0.75,0.25,0.85,0.69,0.5625028571428572,Short,Video,Afternoon,0,1.0837747136915994,0.007084653525457348
23,50,Male,Mexico,Basic,Unemployed,Cybersecurity,Beginner,Upskill,48,11,55.79,4.09,78.89,6,117.57,50,0.2291666666666666,0.7708333333333334,0.89,0.67,0.4869014285714286,Medium,Video,Afternoon,1,-0.4218536485165964,0.16500622341219043
24,51,Other,Colombia,Master,Student,AI,Beginner,Upskill,21,0,61.92,3.73,62.6,13,62.41,3,0.0,1.0,0.02,0.68,0.4064114285714286,Long,Video,Night,1,-2.3922666741844303,0.7780702814833098
25,34,Female,Mexico,Intermediate,Student,AI,Intermediate,Career Change,44,27,52.3,3.2,265.63,12,6.78,23,0.6136363636363636,0.3863636363636363,0.33,0.6,0.6118337662337663,Long,Text,Night,0,2.0065746992965825,-0.18656237455003727
26,48,Other,Chile,University,Unemployed,Data Science,Intermediate,Hobby,35,32,16.78,3.26,61.32,1,41.45,17,0.9142857142857144,0.0857142857142857,0.56,0.94,0.4412742857142856,Long,Video,Morning,0,2.2614711274908603,-2.6305113043228627
27,20,Other,Colombia,Intermediate,Employed,Cybersecurity,Advanced,Upskill,40,23,28.8,4.18,110.8,11,38.96,89,0.575,0.425,0.74,0.73,0.6138142857142856,Long,Mixed,Morning,0,1.6756563899134058,0.1375373013801225
28,60,Other,Argentina,Master,Unemployed,Cybersecurity,Beginner,Career Change,48,38,36.42,4.52,243.98,9,75.32,59,0.7916666666666666,0.2083333333333333,0.51,0.55,0.6051971428571429,Short,Video,Afternoon,0,3.05420771661457,-0.9447999727653306
29,62,Other,Mexico,Master,Unemployed,Web Dev,Advanced,Hobby,20,0,16.38,3.49,19.98,3,43.87,65,0.0,1.0,0.44,0.7,0.1850457142857142,Short,Video,Night,1,-3.2956661867173307,-1.4778622097613365
30,42,Other,Argentina,Master,Unemployed,Web Dev,Beginner,Career Change,22,21,32.52,2.6,94.46,11,19.61,7,0.9545454545454546,0.0454545454545454,0.77,0.29,0.741117922077922,Medium,Video,Morning,0,3.004354348663834,0.9421679460368519
31,22,Other,Spain,Basic,Student,Data Science,Intermediate,Upskill,39,3,85.78,2.99,126.35,3,78.3,51,0.0769230769230769,0.9230769230769232,0.13,0.97,0.2849226373626373,Medium,Text,Morning,1,-2.254981802659462,-1.2779794505487638
32,59,Other,Argentina,University,Student,Web Dev,Beginner,Upskill,30,18,81.57,3.18,134.5,7,33.85,89,0.6,0.4,0.96,0.85,0.68514,Short,Video,Morning,0,1.6676724437522836,1.1260035929288832
33,26,Female,Chile,University,Employed,AI,Intermediate,Upskill,12,4,15.24,4.79,135.49,6,87.18,0,0.3333333333333333,0.6666666666666667,0.95,0.76,0.4490514285714285,Short,Video,Night,1,-1.1326903151741512,0.3894541075015798
34,22,Female,Spain,Basic,Employed,AI,Beginner,Career Change,22,2,32.3,3.39,228.56,9,44.32,68,0.0909090909090909,0.9090909090909092,0.09,0.38,0.3027298701298701,Long,Mixed,Morning,1,-2.380354127740013,-0.7175152081456161
35,22,Other,Argentina,Master,Unemployed,AI,Advanced,Upskill,12,9,78.7,4.52,107.16,5,50.83,9,0.75,0.25,0.95,0.9,0.6795428571428571,Short,Video,Morning,0,1.3895363496246662,1.3463109945054914
36,48,Other,Chile,Master,Student,AI,Intermediate,Hobby,10,9,94.01,3.75,164.12,13,23.74,23,0.9,0.0999999999999999,0.94,0.95,0.9245914285714286,Medium,Text,Morning,0,2.883177157229265,3.4077229959410693
37,45,Female,Mexico,University,Student,Marketing,Beginner,Hobby,32,26,82.09,4.19,174.14,1,57.7,50,0.8125,0.1875,0.82,0.66,0.5933585714285715,Long,Mixed,Morning,0,2.295447850297814,-0.5586195859993514
38,18,Male,Mexico,Master,Employed,Marketing,Advanced,Upskill,33,9,28.6,3.18,68.3,2,9.48,34,0.2727272727272727,0.7272727272727273,0.34,0.69,0.2498753246753246,Long,Video,Morning,1,-1.5616905286810077,-2.235352119315114
39,46,Other,Chile,University,Student,Marketing,Beginner,Career Change,26,9,12.09,4.54,88.15,4,84.68,74,0.3461538461538461,0.6538461538461539,0.88,0.76,0.3897404395604395,Long,Video,Morning,1,-0.8838800275011349,-0.6933610194578015
40,38,Female,Spain,University,Unemployed,Marketing,Advanced,Career Change,36,9,48.11,3.92,174.9,3,52.45,81,0.25,0.75,0.25,0.62,0.2855057142857142,Medium,Video,Afternoon,1,-1.4517450928657192,-1.817761974681829
41,40,Other,Spain,Master,Employed,Web Dev,Beginner,Career Change,32,4,31.47,4.2,223.27,3,16.86,16,0.125,0.875,0.53,0.55,0.2707257142857143,Long,Mixed,Afternoon,1,-2.1706158278946077,-1.3733392441478616
42,42,Other,Chile,Intermediate,Unemployed,Data Science,Advanced,Upskill,22,12,90.6,3.47,8.2,9,102.42,8,0.5454545454545454,0.4545454545454546,0.32,0.96,0.6016935064935065,Long,Mixed,Afternoon,0,0.6576686998037988,0.916188418474026
43,36,Other,Spain,Basic,Student,AI,Beginner,Hobby,47,15,50.36,3.23,101.96,11,29.46,52,0.3191489361702128,0.6808510638297872,0.79,0.81,0.5901789665653496,Short,Video,Afternoon,0,0.5114535482634415,0.6725679003403046
44,62,Male,Mexico,Basic,Student,Cybersecurity,Advanced,Hobby,42,38,99.63,2.64,222.43,13,45.36,17,0.9047619047619048,0.0952380952380952,0.97,0.72,0.94326,Short,Mixed,Morning,0,4.783271611513267,2.243285641755891
45,61,Male,Chile,Master,Student,Data Science,Intermediate,Upskill,17,5,17.57,4.25,26.47,2,107.57,65,0.2941176470588235,0.7058823529411764,0.08,0.18,0.1822324369747899,Short,Mixed,Afternoon,1,-2.2742368564249804,-2.2236740025270714
46,36,Female,Mexico,Master,Student,Cybersecurity,Intermediate,Upskill,8,7,87.68,4.7,74.82,7,118.39,3,0.875,0.125,0.35,0.74,0.65786,Long,Mixed,Night,0,1.4632056591169555,1.0560708752110837
47,36,Female,Colombia,Basic,Employed,AI,Advanced,Hobby,44,38,48.18,4.77,37.8,3,34.17,57,0.8636363636363636,0.1363636363636363,0.74,0.79,0.5677366233766233,Medium,Mixed,Afternoon,0,3.0708653482245327,-1.5707304736139978
48,58,Male,Colombia,Intermediate,Employed,AI,Advanced,Hobby,39,0,71.29,3.09,123.07,12,37.86,55,0.0,1.0,0.53,0.49,0.5057228571428571,Long,Video,Night,1,-1.6094926833029197,1.3405922532921661
49,61,Other,Mexico,Basic,Student,Cybersecurity,Intermediate,Upskill,45,31,60.04,3.31,17.8,5,119.19,35,0.6888888888888889,0.3111111111111111,0.55,0.97,0.5438895238095238,Medium,Text,Afternoon,0,2.0410806903139638,-1.000267738133248
50,35,Female,Spain,Basic,Unemployed,Marketing,Intermediate,Hobby,47,40,29.51,3.24,298.77,6,72.2,15,0.851063829787234,0.1489361702127659,0.74,0.92,0.5909105775075987,Medium,Mixed,Night,0,3.247546694281453,-1.3832817184880566
51,27,Other,Spain,Basic,Unemployed,Cybersecurity,Beginner,Career Change,32,15,90.12,3.64,187.94,8,24.51,35,0.46875,0.53125,0.46,0.42,0.5842935714285714,Long,Text,Night,0,0.7162210735463644,0.5522196916097069
52,45,Female,Mexico,Basic,Employed,Web Dev,Advanced,Hobby,28,4,97.7,4.97,210.96,1,37.17,83,0.1428571428571428,0.8571428571428572,0.6,0.34,0.3796857142857142,Medium,Mixed,Afternoon,1,-1.6932756943330298,-0.22535620085745273
53,30,Female,Spain,Intermediate,Employed,Web Dev,Advanced,Career Change,46,34,84.03,4.87,219.09,9,53.1,55,0.7391304347826086,0.2608695652173913,0.88,0.6,0.7586562732919254,Short,Mixed,Afternoon,0,3.3697381400414392,0.797225170766916
54,22,Female,Argentina,University,Employed,Web Dev,Advanced,Hobby,33,0,53.23,4.96,116.14,10,48.8,85,0.0,1.0,0.83,0.61,0.4867457142857143,Short,Video,Night,1,-1.7813152653433257,1.229357628352561
55,50,Female,Mexico,University,Student,Cybersecurity,Intermediate,Career Change,34,0,11.23,2.69,209.06,5,119.97,2,0.0,1.0,0.56,0.79,0.2416028571428571,Medium,Text,Morning,1,-2.9133950632567096,-1.0846002521541738
56,54,Other,Chile,Basic,Unemployed,Data Science,Beginner,Upskill,10,9,44.01,3.1,65.49,1,114.72,76,0.9,0.0999999999999999,0.21,0.89,0.4214485714285714,Medium,Mixed,Morning,0,0.6738695936139496,-1.593334343594751
57,57,Male,Mexico,Basic,Unemployed,Web Dev,Beginner,Hobby,32,1,42.23,2.78,203.11,2,59.76,2,0.03125,0.96875,0.52,0.87,0.2406921428571428,Short,Mixed,Afternoon,1,-2.758343602590734,-1.304447402832275
58,61,Male,Argentina,Intermediate,Employed,AI,Beginner,Hobby,5,2,46.31,2.84,13.49,5,76.34,65,0.4,0.6,0.81,0.91,0.4817628571428572,Long,Mixed,Morning,1,-0.9573838314333163,0.6817348197783945
59,51,Male,Spain,Intermediate,Student,Data Science,Beginner,Hobby,38,33,67.3,3.89,31.85,2,45.05,37,0.868421052631579,0.131578947368421,0.45,0.92,0.5279834586466166,Long,Video,Morning,0,2.578243224745834,-1.7322239627885092
60,47,Other,Colombia,Basic,Employed,Cybersecurity,Intermediate,Career Change,42,16,95.46,2.87,278.34,10,93.43,83,0.3809523809523809,0.6190476190476191,0.46,0.98,0.6114914285714286,Medium,Text,Afternoon,0,0.7171045145545624,0.8104384948331146
61,19,Male,Mexico,University,Employed,Marketing,Advanced,Upskill,13,10,62.17,3.35,163.49,7,19.73,74,0.7692307692307693,0.2307692307692307,0.14,0.68,0.5331092307692308,Long,Text,Night,0,0.9056332819077553,-0.39803072430231184
62,57,Male,Mexico,Intermediate,Student,Data Science,Intermediate,Career Change,4,3,47.05,4.69,156.99,2,74.22,50,0.75,0.25,0.04,0.25,0.3699571428571429,Short,Mixed,Night,1,-0.33929186170107456,-1.3451144699353141
63,45,Male,Colombia,Intermediate,Unemployed,Cybersecurity,Beginner,Career Change,42,21,17.98,2.8,140.93,10,107.83,48,0.5,0.5,0.5,0.72,0.5002457142857143,Medium,Video,Night,0,0.8264112770161773,-0.6355407776047854
64,26,Other,Spain,Master,Unemployed,Marketing,Intermediate,Upskill,26,24,53.3,4.22,155.94,11,110.9,60,0.9230769230769232,0.0769230769230768,0.0,0.88,0.6192373626373626,Medium,Video,Morning,0,2.5129348874940685,-0.42672899312469975
65,25,Female,Chile,Basic,Employed,Marketing,Beginner,Hobby,49,34,26.61,3.02,114.29,6,32.15,27,0.6938775510204082,0.3061224489795918,0.37,0.52,0.463954693877551,Medium,Mixed,Night,0,1.999160860256275,-2.142395498629895
66,62,Female,Spain,Master,Employed,AI,Beginner,Upskill,26,13,23.3,2.83,207.71,7,63.84,17,0.5,0.5,0.45,0.58,0.4366,Medium,Video,Afternoon,1,-0.040114348164165384,-0.7568132743716524
67,32,Other,Chile,Intermediate,Unemployed,Data Science,Advanced,Hobby,25,22,43.96,2.55,100.01,7,15.26,43,0.88,0.12,0.23,0.41,0.54792,Medium,Mixed,Morning,0,2.049984783274003,-0.9976369185756366
68,42,Female,Colombia,Master,Unemployed,Data Science,Beginner,Career Change,4,1,81.03,3.75,30.64,6,72.49,7,0.25,0.75,0.59,0.61,0.4836314285714286,Long,Mixed,Morning,1,-1.4934082015857164,1.2251262415616142
69,59,Other,Argentina,University,Unemployed,AI,Beginner,Career Change,41,36,42.68,4.11,173.38,8,62.3,69,0.8780487804878049,0.1219512195121951,0.61,0.31,0.6422032055749128,Short,Mixed,Morning,0,3.3085123584194713,-0.5955684518678412
70,39,Male,Spain,University,Employed,AI,Advanced,Hobby,21,5,42.88,3.72,255.99,8,108.13,2,0.238095238095238,0.7619047619047619,0.52,0.47,0.4326171428571428,Medium,Text,Afternoon,1,-1.3198454295853008,0.33326501415341503
71,53,Other,Chile,Master,Unemployed,Data Science,Beginner,Upskill,24,5,45.81,4.92,260.32,6,117.13,50,0.2083333333333333,0.7916666666666666,0.82,0.75,0.4466914285714286,Medium,Text,Morning,1,-1.2943210269972751,0.48048944367061847
72,28,Female,Mexico,University,Student,Marketing,Beginner,Upskill,8,1,35.2,4.42,60.18,6,86.76,83,0.125,0.875,0.51,0.32,0.3384714285714286,Medium,Text,Morning,1,-2.430771217207005,0.009863926181318214
73,64,Other,Spain,University,Employed,Cybersecurity,Intermediate,Career Change,1,0,64.96,3.22,176.47,11,112.18,76,0.0,1.0,0.53,0.15,0.4716342857142857,Medium,Video,Night,1,-2.3970762627937914,1.990814138406622
74,27,Female,Colombia,Intermediate,Employed,Data Science,Beginner,Hobby,5,1,99.1,3.31,243.91,1,20.96,72,0.2,0.8,0.76,0.64,0.4316285714285714,Long,Video,Morning,1,-1.786612742388076,0.569916974233938
75,41,Other,Chile,Master,Unemployed,Data Science,Advanced,Hobby,38,34,41.4,4.82,250.03,12,51.98,74,0.8947368421052632,0.1052631578947368,0.94,0.26,0.796363909774436,Long,Text,Night,0,3.9068299652533125,1.0159362693786875
76,52,Other,Colombia,Intermediate,Employed,Web Dev,Beginner,Upskill,1,0,76.7,3.94,253.34,8,100.21,13,0.0,1.0,0.8,0.84,0.4848285714285714,Long,Text,Afternoon,1,-2.3738970528543026,2.011406451771218
77,54,Other,Chile,Intermediate,Student,Data Science,Intermediate,Upskill,5,2,69.87,3.81,110.85,13,72.66,17,0.4,0.6,0.82,0.5,0.7023114285714287,Long,Video,Morning,1,-0.02256351609293721,3.0109794353495327
78,31,Male,Colombia,Intermediate,Student,AI,Beginner,Hobby,32,18,66.17,3.85,134.43,1,31.7,65,0.5625,0.4375,0.54,0.92,0.4305185714285714,Medium,Mixed,Afternoon,0,0.4711794885924537,-1.4438008215242426
79,56,Other,Chile,University,Unemployed,AI,Advanced,Hobby,6,5,39.95,4.33,209.65,4,96.31,28,0.8333333333333334,0.1666666666666666,0.5,0.77,0.5156142857142857,Long,Text,Night,0,0.6435619953058169,-0.20301510209040038
80,44,Female,Colombia,Master,Student,AI,Beginner,Upskill,36,28,23.65,3.28,78.3,7,21.46,67,0.7777777777777778,0.2222222222222222,0.57,0.79,0.5446333333333333,Short,Video,Afternoon,0,2.134627798885979,-1.1909089556010255
81,27,Male,Spain,Master,Employed,Cybersecurity,Advanced,Career Change,33,12,19.96,4.62,42.61,8,62.76,7,0.3636363636363636,0.6363636363636364,0.15,0.31,0.3504394805194805,Short,Video,Morning,1,-0.7536890051573262,-1.3172572031920837
82,29,Female,Chile,Master,Unemployed,AI,Beginner,Upskill,45,1,11.1,4.0,171.82,10,33.96,68,0.0222222222222222,0.9777777777777776,0.83,0.96,0.4091523809523809,Short,Video,Afternoon,1,-1.8229566118834497,0.027380468875491566
83,57,Other,Argentina,Basic,Student,Web Dev,Advanced,Hobby,38,5,46.08,3.66,284.45,12,109.86,61,0.131578947368421,0.868421052631579,0.1,0.33,0.4087765413533834,Medium,Video,Night,1,-1.4622690077366445,0.031087215414350895
84,57,Male,Mexico,Basic,Employed,Marketing,Intermediate,Upskill,43,11,19.2,4.8,238.07,5,86.33,30,0.2558139534883721,0.7441860465116279,0.61,0.48,0.3442870431893687,Long,Text,Night,1,-1.0065913227289027,-1.2509779911176986
85,46,Female,Mexico,Intermediate,Student,Data Science,Advanced,Hobby,14,7,85.64,4.78,41.23,5,118.26,35,0.5,0.5,0.12,0.93,0.4524228571428572,Medium,Video,Night,1,-0.4810500755795581,-0.15291325816081852
86,57,Female,Mexico,Basic,Student,Web Dev,Advanced,Upskill,15,4,44.14,4.36,65.65,9,5.53,40,0.2666666666666666,0.7333333333333334,0.11,0.47,0.3831371428571428,Long,Mixed,Morning,1,-1.5121168237668348,-0.2465096883585528
87,43,Male,Spain,University,Employed,AI,Intermediate,Upskill,11,5,41.17,3.37,222.56,1,72.51,58,0.4545454545454545,0.5454545454545454,0.45,0.23,0.3301322077922078,Short,Text,Afternoon,1,-1.2088180526118368,-1.193006419045401
88,41,Female,Chile,Intermediate,Student,Web Dev,Beginner,Career Change,25,6,24.9,2.58,96.88,13,71.77,21,0.24,0.76,0.22,0.29,0.4443714285714286,Short,Mixed,Night,1,-1.1324604518156012,0.3020535020128566
89,24,Female,Chile,Master,Student,AI,Intermediate,Upskill,17,8,23.38,3.54,30.18,13,26.21,70,0.4705882352941176,0.5294117647058824,0.6,0.16,0.5865078991596638,Short,Video,Morning,0,0.20875846010345356,1.1170147076264165
90,40,Other,Spain,Master,Employed,AI,Beginner,Hobby,19,16,13.29,3.68,171.63,2,38.82,46,0.8421052631578947,0.1578947368421053,0.53,0.58,0.4280687218045113,Long,Video,Morning,0,1.0433566591391015,-1.8016539986678526
91,47,Other,Spain,Master,Student,Marketing,Beginner,Upskill,38,3,26.37,4.65,284.1,10,36.14,33,0.0789473684210526,0.9210526315789472,0.41,0.12,0.3727099248120301,Short,Video,Afternoon,1,-1.8314722252797728,-0.2126168009763071
92,45,Other,Mexico,Master,Employed,Web Dev,Intermediate,Upskill,32,17,88.03,3.52,167.76,3,31.57,58,0.53125,0.46875,0.51,0.64,0.5017207142857143,Medium,Text,Night,0,0.6407555046793243,-0.5393647357907013
93,64,Male,Mexico,University,Employed,Cybersecurity,Intermediate,Hobby,37,2,89.87,3.89,217.64,3,32.96,77,0.054054054054054,0.945945945945946,0.6,0.83,0.3802419305019305,Short,Video,Night,1,-1.9225272174992252,-0.19058583204020646
94,33,Female,Chile,Basic,Employed,AI,Intermediate,Career Change,4,3,70.13,3.01,91.48,2,6.5,6,0.75,0.25,0.74,0.86,0.5561171428571429,Medium,Video,Afternoon,0,0.4720870186449532,0.3119186017476305
95,36,Male,Chile,University,Unemployed,Web Dev,Advanced,Career Change,36,28,47.93,4.73,246.15,4,43.62,1,0.7777777777777778,0.2222222222222222,0.36,0.13,0.486907619047619,Long,Video,Afternoon,0,1.8908898259812963,-1.5982028743769023
96,37,Other,Colombia,Intermediate,Unemployed,Web Dev,Beginner,Hobby,5,4,46.85,3.88,133.66,12,30.24,85,0.8,0.1999999999999999,0.78,0.2,0.7468428571428571,Short,Mixed,Morning,0,1.563447407843286,2.1738942452582957
97,47,Female,Mexico,University,Student,Data Science,Advanced,Career Change,46,22,81.99,3.56,11.63,9,67.29,24,0.4782608695652174,0.5217391304347826,0.26,0.23,0.5523154037267081,Long,Mixed,Morning,0,1.1116209143749909,-0.104388544938584
98,60,Other,Spain,Basic,Unemployed,Web Dev,Advanced,Hobby,46,3,21.9,4.75,208.91,5,7.11,17,0.0652173913043478,0.9347826086956522,0.53,0.83,0.2765080745341615,Long,Video,Night,1,-2.142640733002507,-1.4306538702689418
99,58,Other,Argentina,Intermediate,Employed,Cybersecurity,Intermediate,Hobby,38,33,59.88,4.13,249.77,7,17.26,85,0.868421052631579,0.131578947368421,0.14,0.91,0.5582863157894737,Short,Video,Morning,0,2.7505184649393204,-1.5262621388786148
100,23,Other,Argentina,Master,Student,Marketing,Intermediate,Upskill,27,7,32.57,4.08,150.81,10,110.16,25,0.2592592592592592,0.7407407407407407,0.4,0.79,0.437203492063492,Short,Mixed,Night,1,-1.062068055944043,0.0854952365538295
101,63,Male,Chile,Intermediate,Student,Web Dev,Beginner,Hobby,2,1,96.28,2.96,31.65,3,33.22,20,0.5,0.5,0.84,0.49,0.5748457142857143,Short,Mixed,Night,1,-0.3269608512165388,1.456510081232728
102,53,Female,Chile,Basic,Employed,Marketing,Beginner,Career Change,49,38,64.94,4.87,122.01,8,112.74,68,0.7755102040816326,0.2244897959183673,0.48,0.34,0.6299616326530612,Medium,Mixed,Night,0,3.1049642127063737,-0.5900759805709601
103,64,Male,Argentina,Intermediate,Student,Cybersecurity,Intermediate,Upskill,20,18,63.56,2.63,151.43,13,22.79,72,0.9,0.0999999999999999,0.77,0.2,0.8296914285714286,Long,Text,Morning,0,3.07250381422103,2.0842595157013655
104,26,Other,Colombia,Basic,Student,Data Science,Intermediate,Hobby,40,16,47.15,4.26,181.49,9,33.34,2,0.4,0.6,0.08,0.1,0.4231571428571429,Short,Text,Night,1,-0.03598405009710991,-0.984734894256173
105,47,Female,Argentina,Basic,Unemployed,Data Science,Advanced,Career Change,38,33,19.28,3.29,243.19,1,20.73,73,0.868421052631579,0.131578947368421,0.69,0.57,0.458514887218045,Long,Video,Afternoon,0,2.33053055886024,-2.4541847130893433
106,29,Male,Argentina,University,Student,Web Dev,Beginner,Upskill,16,7,78.26,4.1,228.92,5,84.61,69,0.4375,0.5625,0.98,0.91,0.5909128571428571,Medium,Video,Afternoon,1,0.008556623333164466,1.2368911401527336
107,29,Male,Spain,University,Unemployed,AI,Beginner,Hobby,15,10,98.89,4.86,16.63,10,72.65,16,0.6666666666666666,0.3333333333333333,0.18,0.61,0.6480657142857142,Medium,Mixed,Night,0,1.0624813475190622,1.2177277770337838
108,24,Other,Argentina,Intermediate,Unemployed,Cybersecurity,Intermediate,Hobby,14,4,75.79,2.98,39.01,11,113.59,81,0.2857142857142857,0.7142857142857143,0.75,0.15,0.6230085714285714,Short,Text,Afternoon,1,-0.4878336700894262,2.306865378406848
109,52,Other,Colombia,Intermediate,Student,Web Dev,Intermediate,Hobby,18,9,68.01,4.13,112.59,12,18.87,2,0.5,0.5,0.7,0.41,0.6831628571428571,Short,Text,Night,0,0.7422478927021084,2.012514673155931
110,40,Female,Spain,Basic,Employed,Marketing,Intermediate,Upskill,44,38,38.38,3.85,238.26,9,89.85,32,0.8636363636363636,0.1363636363636363,0.89,0.65,0.706708051948052,Long,Mixed,Night,0,3.6450742412381194,-0.049221409894577066
111,19,Other,Spain,Master,Student,Marketing,Intermediate,Upskill,35,33,11.91,4.69,161.04,3,13.05,45,0.9428571428571428,0.0571428571428571,0.35,0.79,0.4409628571428571,Short,Mixed,Afternoon,0,2.409092285202734,-2.8310665741553622
