user_id,age,gender,country,education_level,employment_status,preferred_category,skill_level,learning_goal,courses_viewed,courses_completed,avg_progress,avg_rating_given,total_watch_time_hours,sessions_per_week,avg_session_duration_min,last_activity_days_ago,completion_rate,dropout_rate,revisit_rate,diversity_score,engagement_score,preferred_course_length,preferred_content_type,time_of_day_preference
27,20,Other,Colombia,Intermediate,Employed,Cybersecurity,Advanced,Upskill,40,23,28.8,4.18,110.8,11,38.96,89,0.575,0.42500000000000004,0.74,0.73,0.6138142857142856,Long,Mixed,Morning
28,60,Other,Argentina,Master,Unemployed,Cybersecurity,Beginner,Career Change,48,38,36.42,4.52,243.98,9,75.32,59,0.7916666666666666,0.20833333333333337,0.51,0.55,0.6051971428571429,Short,Video,Afternoon
29,62,Other,Mexico,Master,Unemployed,Web Dev,Advanced,Hobby,20,0,16.38,3.49,19.98,3,43.87,65,0.0,1.0,0.44,0.7,0.18504571428571429,Short,Video,Night
30,42,Other,Argentina,Master,Unemployed,Web Dev,Beginner,Career Change,22,21,32.52,2.6,94.46,11,19.61,7,0.9545454545454546,0.045454545454545414,0.77,0.29,0.741117922077922,Medium,Video,Morning
31,22,Other,Spain,Basic,Student,Data Science,Intermediate,Upskill,39,3,85.78,2.99,126.35,3,78.3,51,0.07692307692307693,0.9230769230769231,0.13,0.97,0.28492263736263734,Medium,Text,Morning
32,59,Other,Argentina,University,Student,Web Dev,Beginner,Upskill,30,18,81.57,3.18,134.5,7,33.85,89,0.6,0.4,0.96,0.85,0.68514,Short,Video,Morning
33,26,Female,Chile,University,Employed,AI,Intermediate,Upskill,12,4,15.24,4.79,135.49,6,87.18,0,0.3333333333333333,0.6666666666666667,0.95,0.76,0.44905142857142855,Short,Video,Night
34,22,Female,Spain,Basic,Employed,AI,Beginner,Career Change,22,2,32.3,3.39,228.56,9,44.32,68,0.09090909090909091,0.9090909090909091,0.09,0.38,0.3027298701298701,Long,Mixed,Morning
35,22,Other,Argentina,Master,Unemployed,AI,Advanced,Upskill,12,9,78.7,4.52,107.16,5,50.83,9,0.75,0.25,0.95,0.9,0.6795428571428571,Short,Video,Morning
36,48,Other,Chile,Master,Student,AI,Intermediate,Hobby,10,9,94.01,3.75,164.12,13,23.74,23,0.9,0.09999999999999998,0.94,0.95,0.9245914285714286,Medium,Text,Morning
37,45,Female,Mexico,University,Student,Marketing,Beginner,Hobby,32,26,82.09,4.19,174.14,1,57.7,50,0.8125,0.1875,0.82,0.66,0.5933585714285715,Long,Mixed,Morning
38,18,Male,Mexico,Master,Employed,Marketing,Advanced,Upskill,33,9,28.6,3.18,68.3,2,9.48,34,0.2727272727272727,0.7272727272727273,0.34,0.69,0.24987532467532464,Long,Video,Morning
39,46,Other,Chile,University,Student,Marketing,Beginner,Career Change,26,9,12.09,4.54,88.15,4,84.68,74,0.34615384615384615,0.6538461538461539,0.88,0.76,0.3897404395604395,Long,Video,Morning
40,38,Female,Spain,University,Unemployed,Marketing,Advanced,Career Change,36,9,48.11,3.92,174.9,3,52.45,81,0.25,0.75,0.25,0.62,0.28550571428571425,Medium,Video,Afternoon
41,40,Other,Spain,Master,Employed,Web Dev,Beginner,Career Change,32,4,31.47,4.2,223.27,3,16.86,16,0.125,0.875,0.53,0.55,0.2707257142857143,Long,Mixed,Afternoon
42,42,Other,Chile,Intermediate,Unemployed,Data Science,Advanced,Upskill,22,12,90.6,3.47,8.2,9,102.42,8,0.5454545454545454,0.4545454545454546,0.32,0.96,0.6016935064935065,Long,Mixed,Afternoon
43,36,Other,Spain,Basic,Student,AI,Beginner,Hobby,47,15,50.36,3.23,101.96,11,29.46,52,0.3191489361702128,0.6808510638297872,0.79,0.81,0.5901789665653496,Short,Video,Afternoon
44,62,Male,Mexico,Basic,Student,Cybersecurity,Advanced,Hobby,42,38,99.63,2.64,222.43,13,45.36,17,0.9047619047619048,0.09523809523809523,0.97,0.72,0.94326,Short,Mixed,Morning
45,61,Male,Chile,Master,Student,Data Science,Intermediate,Upskill,17,5,17.57,4.25,26.47,2,107.57,65,0.29411764705882354,0.7058823529411764,0.08,0.18,0.1822324369747899,Short,Mixed,Afternoon
46,36,Female,Mexico,Master,Student,Cybersecurity,Intermediate,Upskill,8,7,87.68,4.7,74.82,7,118.39,3,0.875,0.125,0.35,0.74,0.65786,Long,Mixed,Night
47,36,Female,Colombia,Basic,Employed,AI,Advanced,Hobby,44,38,48.18,4.77,37.8,3,34.17,57,0.8636363636363636,0.13636363636363635,0.74,0.79,0.5677366233766233,Medium,Mixed,Afternoon
48,58,Male,Colombia,Intermediate,Employed,AI,Advanced,Hobby,39,0,71.29,3.09,123.07,12,37.86,55,0.0,1.0,0.53,0.49,0.5057228571428571,Long,Video,Night
49,61,Other,Mexico,Basic,Student,Cybersecurity,Intermediate,Upskill,45,31,60.04,3.31,17.8,5,119.19,35,0.6888888888888889,0.3111111111111111,0.55,0.97,0.5438895238095238,Medium,Text,Afternoon
50,35,Female,Spain,Basic,Unemployed,Marketing,Intermediate,Hobby,47,40,29.51,3.24,298.77,6,72.2,15,0.851063829787234,0.14893617021276595,0.74,0.92,0.5909105775075987,Medium,Mixed,Night
51,27,Other,Spain,Basic,Unemployed,Cybersecurity,Beginner,Career Change,32,15,90.12,3.64,187.94,8,24.51,35,0.46875,0.53125,0.46,0.42,0.5842935714285714,Long,Text,Night
52,45,Female,Mexico,Basic,Employed,Web Dev,Advanced,Hobby,28,4,97.7,4.97,210.96,1,37.17,83,0.14285714285714285,0.8571428571428572,0.6,0.34,0.37968571428571424,Medium,Mixed,Afternoon
53,30,Female,Spain,Intermediate,Employed,Web Dev,Advanced,Career Change,46,34,84.03,4.87,219.09,9,53.1,55,0.7391304347826086,0.26086956521739135,0.88,0.6,0.7586562732919254,Short,Mixed,Afternoon
54,22,Female,Argentina,University,Employed,Web Dev,Advanced,Hobby,33,0,53.23,4.96,116.14,10,48.8,85,0.0,1.0,0.83,0.61,0.48674571428571434,Short,Video,Night
55,50,Female,Mexico,University,Student,Cybersecurity,Intermediate,Career Change,34,0,11.23,2.69,209.06,5,119.97,2,0.0,1.0,0.56,0.79,0.24160285714285717,Medium,Text,Morning
56,54,Other,Chile,Basic,Unemployed,Data Science,Beginner,Upskill,10,9,44.01,3.1,65.49,1,114.72,76,0.9,0.09999999999999998,0.21,0.89,0.4214485714285714,Medium,Mixed,Morning
57,57,Male,Mexico,Basic,Unemployed,Web Dev,Beginner,Hobby,32,1,42.23,2.78,203.11,2,59.76,2,0.03125,0.96875,0.52,0.87,0.24069214285714283,Short,Mixed,Afternoon
58,61,Male,Argentina,Intermediate,Employed,AI,Beginner,Hobby,5,2,46.31,2.84,13.49,5,76.34,65,0.4,0.6,0.81,0.91,0.4817628571428572,Long,Mixed,Morning
59,51,Male,Spain,Intermediate,Student,Data Science,Beginner,Hobby,38,33,67.3,3.89,31.85,2,45.05,37,0.868421052631579,0.13157894736842102,0.45,0.92,0.5279834586466166,Long,Video,Morning
60,47,Other,Colombia,Basic,Employed,Cybersecurity,Intermediate,Career Change,42,16,95.46,2.87,278.34,10,93.43,83,0.38095238095238093,0.6190476190476191,0.46,0.98,0.6114914285714286,Medium,Text,Afternoon
61,19,Male,Mexico,University,Employed,Marketing,Advanced,Upskill,13,10,62.17,3.35,163.49,7,19.73,74,0.7692307692307693,0.23076923076923073,0.14,0.68,0.5331092307692308,Long,Text,Night
62,57,Male,Mexico,Intermediate,Student,Data Science,Intermediate,Career Change,4,3,47.05,4.69,156.99,2,74.22,50,0.75,0.25,0.04,0.25,0.3699571428571429,Short,Mixed,Night
63,45,Male,Colombia,Intermediate,Unemployed,Cybersecurity,Beginner,Career Change,42,21,17.98,2.8,140.93,10,107.83,48,0.5,0.5,0.5,0.72,0.5002457142857143,Medium,Video,Night
64,26,Other,Spain,Master,Unemployed,Marketing,Intermediate,Upskill,26,24,53.3,4.22,155.94,11,110.9,60,0.9230769230769231,0.07692307692307687,0.0,0.88,0.6192373626373626,Medium,Video,Morning
65,25,Female,Chile,Basic,Employed,Marketing,Beginner,Hobby,49,34,26.61,3.02,114.29,6,32.15,27,0.6938775510204082,0.30612244897959184,0.37,0.52,0.463954693877551,Medium,Mixed,Night
66,62,Female,Spain,Master,Employed,AI,Beginner,Upskill,26,13,23.3,2.83,207.71,7,63.84,17,0.5,0.5,0.45,0.58,0.4366,Medium,Video,Afternoon
67,32,Other,Chile,Intermediate,Unemployed,Data Science,Advanced,Hobby,25,22,43.96,2.55,100.01,7,15.26,43,0.88,0.12,0.23,0.41,0.54792,Medium,Mixed,Morning
68,42,Female,Colombia,Master,Unemployed,Data Science,Beginner,Career Change,4,1,81.03,3.75,30.64,6,72.49,7,0.25,0.75,0.59,0.61,0.4836314285714286,Long,Mixed,Morning
69,59,Other,Argentina,University,Unemployed,AI,Beginner,Career Change,41,36,42.68,4.11,173.38,8,62.3,69,0.8780487804878049,0.12195121951219512,0.61,0.31,0.6422032055749128,Short,Mixed,Morning
70,39,Male,Spain,University,Employed,AI,Advanced,Hobby,21,5,42.88,3.72,255.99,8,108.13,2,0.23809523809523808,0.7619047619047619,0.52,0.47,0.4326171428571428,Medium,Text,Afternoon
71,53,Other,Chile,Master,Unemployed,Data Science,Beginner,Upskill,24,5,45.81,4.92,260.32,6,117.13,50,0.20833333333333334,0.7916666666666666,0.82,0.75,0.4466914285714286,Medium,Text,Morning
72,28,Female,Mexico,University,Student,Marketing,Beginner,Upskill,8,1,35.2,4.42,60.18,6,86.76,83,0.125,0.875,0.51,0.32,0.3384714285714286,Medium,Text,Morning
73,64,Other,Spain,University,Employed,Cybersecurity,Intermediate,Career Change,1,0,64.96,3.22,176.47,11,112.18,76,0.0,1.0,0.53,0.15,0.47163428571428573,Medium,Video,Night
74,27,Female,Colombia,Intermediate,Employed,Data Science,Beginner,Hobby,5,1,99.1,3.31,243.91,1,20.96,72,0.2,0.8,0.76,0.64,0.4316285714285714,Long,Video,Morning
75,41,Other,Chile,Master,Unemployed,Data Science,Advanced,Hobby,38,34,41.4,4.82,250.03,12,51.98,74,0.8947368421052632,0.10526315789473684,0.94,0.26,0.796363909774436,Long,Text,Night
76,52,Other,Colombia,Intermediate,Employed,Web Dev,Beginner,Upskill,1,0,76.7,3.94,253.34,8,100.21,13,0.0,1.0,0.8,0.84,0.4848285714285714,Long,Text,Afternoon
77,54,Other,Chile,Intermediate,Student,Data Science,Intermediate,Upskill,5,2,69.87,3.81,110.85,13,72.66,17,0.4,0.6,0.82,0.5,0.7023114285714287,Long,Video,Morning
78,31,Male,Colombia,Intermediate,Student,AI,Beginner,Hobby,32,18,66.17,3.85,134.43,1,31.7,65,0.5625,0.4375,0.54,0.92,0.4305185714285714,Medium,Mixed,Afternoon
79,56,Other,Chile,University,Unemployed,AI,Advanced,Hobby,6,5,39.95,4.33,209.65,4,96.31,28,0.8333333333333334,0.16666666666666663,0.5,0.77,0.5156142857142857,Long,Text,Night
80,44,Female,Colombia,Master,Student,AI,Beginner,Upskill,36,28,23.65,3.28,78.3,7,21.46,67,0.7777777777777778,0.2222222222222222,0.57,0.79,0.5446333333333333,Short,Video,Afternoon
81,27,Male,Spain,Master,Employed,Cybersecurity,Advanced,Career Change,33,12,19.96,4.62,42.61,8,62.76,7,0.36363636363636365,0.6363636363636364,0.15,0.31,0.3504394805194805,Short,Video,Morning
82,29,Female,Chile,Master,Unemployed,AI,Beginner,Upskill,45,1,11.1,4.0,171.82,10,33.96,68,0.022222222222222223,0.9777777777777777,0.83,0.96,0.40915238095238093,Short,Video,Afternoon
83,57,Other,Argentina,Basic,Student,Web Dev,Advanced,Hobby,38,5,46.08,3.66,284.45,12,109.86,61,0.13157894736842105,0.868421052631579,0.1,0.33,0.4087765413533834,Medium,Video,Night
84,57,Male,Mexico,Basic,Employed,Marketing,Intermediate,Upskill,43,11,19.2,4.8,238.07,5,86.33,30,0.2558139534883721,0.7441860465116279,0.61,0.48,0.34428704318936876,Long,Text,Night
85,46,Female,Mexico,Intermediate,Student,Data Science,Advanced,Hobby,14,7,85.64,4.78,41.23,5,118.26,35,0.5,0.5,0.12,0.93,0.4524228571428572,Medium,Video,Night
86,57,Female,Mexico,Basic,Student,Web Dev,Advanced,Upskill,15,4,44.14,4.36,65.65,9,5.53,40,0.26666666666666666,0.7333333333333334,0.11,0.47,0.38313714285714284,Long,Mixed,Morning
87,43,Male,Spain,University,Employed,AI,Intermediate,Upskill,11,5,41.17,3.37,222.56,1,72.51,58,0.45454545454545453,0.5454545454545454,0.45,0.23,0.3301322077922078,Short,Text,Afternoon
88,41,Female,Chile,Intermediate,Student,Web Dev,Beginner,Career Change,25,6,24.9,2.58,96.88,13,71.77,21,0.24,0.76,0.22,0.29,0.4443714285714286,Short,Mixed,Night
89,24,Female,Chile,Master,Student,AI,Intermediate,Upskill,17,8,23.38,3.54,30.18,13,26.21,70,0.47058823529411764,0.5294117647058824,0.6,0.16,0.5865078991596638,Short,Video,Morning
90,40,Other,Spain,Master,Employed,AI,Beginner,Hobby,19,16,13.29,3.68,171.63,2,38.82,46,0.8421052631578947,0.1578947368421053,0.53,0.58,0.4280687218045113,Long,Video,Morning
91,47,Other,Spain,Master,Student,Marketing,Beginner,Upskill,38,3,26.37,4.65,284.1,10,36.14,33,0.07894736842105263,0.9210526315789473,0.41,0.12,0.3727099248120301,Short,Video,Afternoon
92,45,Other,Mexico,Master,Employed,Web Dev,Intermediate,Upskill,32,17,88.03,3.52,167.76,3,31.57,58,0.53125,0.46875,0.51,0.64,0.5017207142857143,Medium,Text,Night
93,64,Male,Mexico,University,Employed,Cybersecurity,Intermediate,Hobby,37,2,89.87,3.89,217.64,3,32.96,77,0.05405405405405406,0.9459459459459459,0.6,0.83,0.3802419305019305,Short,Video,Night
94,33,Female,Chile,Basic,Employed,AI,Intermediate,Career Change,4,3,70.13,3.01,91.48,2,6.5,6,0.75,0.25,0.74,0.86,0.5561171428571429,Medium,Video,Afternoon
95,36,Male,Chile,University,Unemployed,Web Dev,Advanced,Career Change,36,28,47.93,4.73,246.15,4,43.62,1,0.7777777777777778,0.2222222222222222,0.36,0.13,0.48690761904761903,Long,Video,Afternoon
96,37,Other,Colombia,Intermediate,Unemployed,Web Dev,Beginner,Hobby,5,4,46.85,3.88,133.66,12,30.24,85,0.8,0.19999999999999996,0.78,0.2,0.7468428571428571,Short,Mixed,Morning
97,47,Female,Mexico,University,Student,Data Science,Advanced,Career Change,46,22,81.99,3.56,11.63,9,67.29,24,0.4782608695652174,0.5217391304347826,0.26,0.23,0.5523154037267081,Long,Mixed,Morning
98,60,Other,Spain,Basic,Unemployed,Web Dev,Advanced,Hobby,46,3,21.9,4.75,208.91,5,7.11,17,0.06521739130434782,0.9347826086956522,0.53,0.83,0.2765080745341615,Long,Video,Night
99,58,Other,Argentina,Intermediate,Employed,Cybersecurity,Intermediate,Hobby,38,33,59.88,4.13,249.77,7,17.26,85,0.868421052631579,0.13157894736842102,0.14,0.91,0.5582863157894737,Short,Video,Morning
100,23,Other,Argentina,Master,Student,Marketing,Intermediate,Upskill,27,7,32.57,4.08,150.81,10,110.16,25,0.25925925925925924,0.7407407407407407,0.4,0.79,0.43720349206349207,Short,Mixed,Night
101,63,Male,Chile,Intermediate,Student,Web Dev,Beginner,Hobby,2,1,96.28,2.96,31.65,3,33.22,20,0.5,0.5,0.84,0.49,0.5748457142857143,Short,Mixed,Night
102,53,Female,Chile,Basic,Employed,Marketing,Beginner,Career Change,49,38,64.94,4.87,122.01,8,112.74,68,0.7755102040816326,0.22448979591836737,0.48,0.34,0.6299616326530612,Medium,Mixed,Night
103,64,Male,Argentina,Intermediate,Student,Cybersecurity,Intermediate,Upskill,20,18,63.56,2.63,151.43,13,22.79,72,0.9,0.09999999999999998,0.77,0.2,0.8296914285714286,Long,Text,Morning
104,26,Other,Colombia,Basic,Student,Data Science,Intermediate,Hobby,40,16,47.15,4.26,181.49,9,33.34,2,0.4,0.6,0.08,0.1,0.4231571428571429,Short,Text,Night
105,47,Female,Argentina,Basic,Unemployed,Data Science,Advanced,Career Change,38,33,19.28,3.29,243.19,1,20.73,73,0.868421052631579,0.13157894736842102,0.69,0.57,0.458514887218045,Long,Video,Afternoon
106,29,Male,Argentina,University,Student,Web Dev,Beginner,Upskill,16,7,78.26,4.1,228.92,5,84.61,69,0.4375,0.5625,0.98,0.91,0.5909128571428571,Medium,Video,Afternoon
107,29,Male,Spain,University,Unemployed,AI,Beginner,Hobby,15,10,98.89,4.86,16.63,10,72.65,16,0.6666666666666666,0.33333333333333337,0.18,0.61,0.6480657142857142,Medium,Mixed,Night
108,24,Other,Argentina,Intermediate,Unemployed,Cybersecurity,Intermediate,Hobby,14,4,75.79,2.98,39.01,11,113.59,81,0.2857142857142857,0.7142857142857143,0.75,0.15,0.6230085714285714,Short,Text,Afternoon
109,52,Other,Colombia,Intermediate,Student,Web Dev,Intermediate,Hobby,18,9,68.01,4.13,112.59,12,18.87,2,0.5,0.5,0.7,0.41,0.6831628571428571,Short,Text,Night
110,40,Female,Spain,Basic,Employed,Marketing,Intermediate,Upskill,44,38,38.38,3.85,238.26,9,89.85,32,0.8636363636363636,0.13636363636363635,0.89,0.65,0.706708051948052,Long,Mixed,Night
111,19,Other,Spain,Master,Student,Marketing,Intermediate,Upskill,35,33,11.91,4.69,161.04,3,13.05,45,0.9428571428571428,0.05714285714285716,0.35,0.79,0.44096285714285716,Short,Mixed,Afternoon
112,46,Male,Spain,Basic,Unemployed,Data Science,Intermediate,Upskill,44,15,88.63,4.96,231.64,9,43.68,83,0.3409090909090909,0.6590909090909092,0.74,0.31,0.6203898701298701,Medium,Mixed,Morning
113,20,Other,Colombia,Basic,Employed,Web Dev,Advanced,Career Change,45,13,36.73,4.63,216.09,5,9.84,64,0.28888888888888886,0.7111111111111111,0.91,0.14,0.44926952380952384,Short,Mixed,Morning
114,32,Other,Chile,Intermediate,Employed,AI,Beginner,Hobby,49,23,21.2,4.89,240.41,5,15.28,69,0.46938775510204084,0.5306122448979591,0.98,0.9,0.48635918367346936,Long,Video,Night
115,41,Female,Spain,Intermediate,Employed,AI,Intermediate,Hobby,11,1,25.03,4.98,73.34,4,101.35,53,0.09090909090909091,0.9090909090909091,0.61,0.56,0.28504701298701296,Short,Text,Afternoon
116,27,Male,Argentina,University,Employed,AI,Advanced,Upskill,43,33,44.57,2.59,287.39,8,45.26,4,0.7674418604651163,0.2325581395348837,0.63,0.29,0.6168011295681063,Medium,Video,Morning
117,26,Female,Colombia,Master,Employed,Marketing,Beginner,Upskill,35,19,99.54,2.93,121.89,2,61.49,16,0.5428571428571428,0.4571428571428572,0.15,0.83,0.43479428571428574,Long,Mixed,Afternoon
118,55,Female,Chile,Master,Student,Cybersecurity,Intermediate,Hobby,13,7,77.31,2.59,269.0,5,15.52,55,0.5384615384615384,0.46153846153846156,0.27,0.22,0.4773013186813187,Medium,Video,Afternoon
119,26,Other,Argentina,Intermediate,Student,AI,Beginner,Upskill,3,0,86.7,2.59,102.07,9,68.35,58,0.0,1.0,0.28,0.33,0.4222571428571429,Long,Mixed,Morning
120,55,Other,Chile,Basic,Student,Web Dev,Intermediate,Hobby,8,2,75.11,3.74,28.91,12,17.59,27,0.25,0.75,0.08,0.87,0.4983628571428571,Long,Text,Morning
121,57,Other,Spain,University,Student,Cybersecurity,Advanced,Upskill,45,31,56.45,4.77,173.54,8,82.97,76,0.6888888888888889,0.3111111111111111,0.27,0.89,0.5449952380952381,Long,Text,Night
122,36,Male,Spain,Master,Student,AI,Beginner,Hobby,16,7,32.08,2.89,52.32,13,101.26,88,0.4375,0.5625,0.93,0.2,0.6599814285714286,Short,Text,Morning
123,44,Other,Argentina,Basic,Student,Web Dev,Advanced,Upskill,38,6,89.35,4.9,142.31,7,5.59,31,0.15789473684210525,0.8421052631578947,0.34,0.77,0.44406842105263156,Short,Text,Morning
124,48,Male,Argentina,Intermediate,Unemployed,Web Dev,Beginner,Hobby,18,3,60.06,4.39,81.31,2,38.01,45,0.16666666666666666,0.8333333333333334,0.33,0.6,0.27897714285714287,Short,Text,Afternoon
125,57,Female,Mexico,University,Student,Data Science,Advanced,Upskill,31,1,67.06,3.85,235.05,6,37.58,70,0.03225806451612903,0.967741935483871,0.54,0.97,0.38036884792626724,Medium,Text,Night
126,45,Male,Colombia,Master,Employed,Data Science,Intermediate,Upskill,15,13,77.83,4.47,56.26,4,12.8,63,0.8666666666666667,0.1333333333333333,0.71,0.16,0.6433742857142858,Short,Video,Morning
127,27,Female,Argentina,Intermediate,Employed,AI,Beginner,Upskill,1,0,15.21,2.69,256.46,13,56.29,51,0.0,1.0,0.76,0.12,0.4609914285714286,Long,Mixed,Afternoon
128,28,Other,Mexico,University,Employed,Marketing,Intermediate,Career Change,33,5,43.47,4.55,79.49,7,56.28,45,0.15151515151515152,0.8484848484848485,0.47,0.95,0.3763945454545454,Long,Text,Night
129,52,Male,Chile,Intermediate,Student,Marketing,Beginner,Hobby,13,8,24.73,4.49,209.64,4,101.59,46,0.6153846153846154,0.3846153846153846,0.68,0.69,0.4557896703296703,Long,Mixed,Morning
130,44,Female,Colombia,Basic,Unemployed,Marketing,Advanced,Hobby,3,0,96.69,2.58,220.72,5,78.43,5,0.0,1.0,0.76,0.5,0.45252285714285717,Long,Mixed,Morning
131,18,Other,Chile,Basic,Unemployed,Cybersecurity,Beginner,Hobby,38,14,77.13,3.0,261.1,8,47.38,14,0.3684210526315789,0.631578947368421,0.47,0.59,0.5302148872180451,Short,Text,Afternoon
132,63,Female,Mexico,Intermediate,Employed,AI,Beginner,Upskill,25,16,18.2,2.88,138.84,2,92.52,2,0.64,0.36,0.8,0.36,0.4312571428571429,Medium,Text,Afternoon
133,41,Other,Spain,Basic,Student,Marketing,Intermediate,Upskill,3,1,51.59,2.5,181.51,12,33.47,8,0.3333333333333333,0.6666666666666667,0.2,0.54,0.5003228571428571,Short,Video,Night
